Date,IIP,IIP_yoy
2015-01,114.3,1.7809439002671512
2015-02,109.9,2.9990627928772273
2015-03,121.3,2.362869198312234
2015-04,107.3,0.6566604127579811
2015-05,113.0,1.8018018018018056
2015-06,110.8,1.0027347310847645
2015-07,111.8,1.26811594202898
2015-08,112.0,3.703703703703698
2015-09,112.6,2.177858439201441
2015-10,115.5,8.962264150943389
2015-11,110.3,0.8226691042047429
2015-12,118.9,3.1222896790980226
2016-01,118.9,4.024496937882782
2016-02,117.8,7.188353048225649
2016-03,127.6,5.193734542456707
2016-04,113.7,5.964585274930112
2016-05,121.3,7.345132743362837
2016-06,119.7,8.032490974729246
2016-07,116.8,4.472271914132375
2016-08,116.5,4.01785714285714
2016-09,118.2,4.973357015985802
2016-10,120.3,4.155844155844157
2016-11,115.9,5.077062556663647
2016-12,121.7,2.354920100925151
2017-01,123.1,3.532380151387704
2017-02,119.2,1.1884550084889645
2017-03,133.2,4.3887147335423204
2017-04,117.3,3.16622691292876
2017-05,124.8,2.885408079142615
2017-06,119.3,-0.3341687552213868
2017-07,118.0,1.0273972602739656
2017-08,122.1,4.80686695278969
2017-09,123.1,4.145516074450084
2017-10,122.5,1.8287614297589405
2017-11,125.8,8.541846419327005
2017-12,130.6,7.313064913722256
2018-01,132.3,7.473598700243711
2018-02,127.4,6.879194630872476
2018-03,140.3,5.330330330330346
2018-04,122.6,4.518329070758731
2018-05,129.6,3.8461538461538547
2018-06,127.7,7.041072925398151
2018-07,125.7,6.525423728813551
2018-08,128.0,4.832104832104833
2018-09,128.8,4.630381803411865
2018-10,132.8,8.408163265306134
2018-11,126.1,0.23847376788552754
2018-12,133.9,2.52679938744258
2019-01,134.4,1.5873015873015817
2019-02,127.6,0.15698587127157548
2019-03,144.1,2.708481824661435
2019-04,126.5,3.1810766721044104
2019-05,135.4,4.475308641975317
2019-06,129.3,1.2529365700861383
2019-07,131.8,4.852824184566429
2019-08,126.2,-1.4062499999999978
2019-09,122.9,-4.580745341614911
2019-10,124.0,-6.62650602409639
2019-11,128.8,2.1411578112609186
2019-12,134.5,0.44809559372664953
2020-01,137.4,2.2321428571428603
2020-02,134.2,5.1724137931034475
2020-03,117.2,-18.66759195003469
2020-04,54.0,-57.31225296442688
2020-05,90.2,-33.38257016248154
2020-06,107.9,-16.550657385924204
2020-07,117.9,-10.54628224582701
2020-08,117.2,-7.131537242472263
2020-09,124.1,0.9764035801464566
2020-10,129.6,4.516129032258065
2020-11,126.7,-1.630434782608703
2020-12,137.4,2.1561338289962872
2021-01,136.6,-0.5822416302765698
2021-02,129.9,-3.2041728763040123
2021-03,145.6,24.23208191126278
2021-04,126.1,133.5185185185185
2021-05,115.1,27.605321507760515
2021-06,122.8,13.809082483781276
2021-07,131.5,11.535199321458855
2021-08,132.4,12.969283276450504
2021-09,129.5,4.351329572925056
2021-10,135.0,4.166666666666674
2021-11,128.0,1.0260457774269982
2021-12,138.8,1.0189228529839944
2022-01,139.3,1.9765739385066095
2022-02,131.4,1.1547344110854452
2022-03,148.8,2.197802197802212
2022-04,134.5,6.6613798572561445
2022-05,137.8,19.721980886185932
2022-06,138.3,12.622149837133566
2022-07,134.4,2.205323193916353
2022-08,131.5,-0.6797583081571079
2022-09,133.8,3.3204633204633183
2022-10,129.5,-4.074074074074074
2022-11,137.7,7.578124999999991
2022-12,145.9,5.115273775216145
2023-01,147.4,5.814788226848533
2023-02,139.3,6.0121765601217625
2023-03,151.7,1.9489247311827773
2023-04,140.7,4.609665427509291
2023-05,145.6,5.660377358490543
2023-06,143.9,4.049168474331166
2023-07,142.7,6.175595238095233
2023-08,145.8,10.874524714828905
2023-09,142.3,6.352765321375187
2023-10,144.9,11.891891891891904
2023-11,141.1,2.4691358024691468
2023-12,152.3,4.386566141192594
2024-01,153.6,4.2062415196743475
2024-02,147.1,5.5994256999281955
2024-03,160.0,5.4713249835201205
2024-04,148.0,5.18834399431416
2024-05,154.7,6.25
2024-06,151.0,4.933981931897136
2024-07,149.8,4.975473020322374
2024-08,145.8,0.0
2024-09,146.9,3.232607167955015
2024-10,150.3,3.7267080745341685
2024-11,148.1,4.961020552799433
2024-12,158.0,3.742613263296124
2025-01,161.6,5.208333333333326
2025-02,151.1,2.7192386131883017
2025-03,166.3,3.937500000000016
2025-04,151.8,2.5675675675675746
2025-05,157.6,1.8745959922430444
2025-06,153.3,1.5231788079470343
2025-07,156.2,4.272363150867808
2025-08,151.8,4.115226337448563
2025-09,153.7,4.628999319264793
2025-10,151.1,0.5322687957418415
2025-11,158.7,7.157326130992558
2025-12,170.3,7.784810126582276
