Date,Oil
2015-01,47.7595
2015-02,58.0955
2015-03,55.8855
2015-04,59.5243
2015-05,64.075
2015-06,61.4777
2015-07,56.5613
2015-08,46.515
2015-09,47.6232
2015-10,48.43
2015-11,44.2676
2015-12,38.0055
2016-01,30.6995
2016-02,32.1815
2016-03,38.2105
2016-04,41.5833
2016-05,46.7424
2016-06,48.2473
2016-07,44.9519
2016-08,45.843
2016-09,46.5677
2016-10,49.5224
2016-11,44.7341
2016-12,53.3085
2017-01,54.5767
2017-02,54.8695
2017-03,51.5891
2017-04,52.3079
2017-05,50.3265
2017-06,46.3682
2017-07,48.4786
2017-08,51.7043
2017-09,56.1529
2017-10,57.5077
2017-11,62.7141
2017-12,64.3737
2018-01,69.0773
2018-02,65.3175
2018-03,66.0167
2018-04,72.106
2018-05,76.9752
2018-06,74.4048
2018-07,74.2541
2018-08,72.5283
2018-09,78.891
2018-10,81.0322
2018-11,64.7482
2018-12,57.3624
2019-01,59.4095
2019-02,63.9605
2019-03,66.1386
2019-04,71.2333
2019-05,71.3177
2019-06,64.2205
2019-07,63.9191
2019-08,59.0418
2019-09,62.8267
2019-10,59.713
2019-11,63.2119
2019-12,67.2171
2020-01,63.6455
2020-02,55.657
2020-03,32.0114
2020-04,18.3785
2020-05,29.3789
2020-06,40.2668
2020-07,43.2422
2020-08,44.736
2020-09,40.9095
2020-10,40.1895
2020-11,42.6924
2020-12,49.9936
2021-01,54.774
2021-02,62.2765
2021-03,65.41
2021-04,64.8065
2021-05,68.5342
2021-06,73.1641
2021-07,75.1659
2021-08,70.7471
2021-09,74.4886
2021-10,83.5381
2021-11,81.05
2021-12,74.1705
2022-01,86.5052
2022-02,97.129
2022-03,117.2452
2022-04,104.5753
2022-05,113.3376
2022-06,122.711
2022-07,111.9257
2022-08,100.4464
2022-09,89.7648
2022-10,93.3319
2022-11,91.4155
2022-12,80.924
2023-01,82.5014
2023-02,82.585
2023-03,78.4343
2023-04,84.6383
2023-05,75.466
2023-06,74.8391
2023-07,80.1081
2023-08,86.1477
2023-09,93.7224
2023-10,90.5959
2023-11,82.94
2023-12,77.6311
2024-01,80.1241
2024-02,83.4781
2024-03,85.4085
2024-04,89.9381
2024-05,81.7462
2024-06,82.246
2024-07,85.153
2024-08,80.3552
2024-09,74.0167
2024-10,75.6326
2024-11,74.3452
2024-12,73.8595
2025-01,79.2705
2025-02,75.438
2025-03,72.7329
2025-04,68.1345
2025-05,64.453
2025-06,71.4448
2025-07,71.0413
2025-08,67.87
2025-09,67.9855
2025-10,64.5435
2025-11,63.797
2025-12,62.5443
